"neighbourhood","no_show_rate"
ILHAS OCEÂNICAS DE TRINDADE,100.00
SANTOS DUMONT,28.92
SANTA CECÍLIA,27.46
SANTA CLARA,26.48
ITARARÉ,26.27
JESUS DE NAZARETH,24.40
HORTO,24.00
ILHA DO PRÍNCIPE,23.48
CARATOÍRA,23.04
ANDORINHAS,23.03
PRAIA DO SUÁ,22.83
GURIGICA,22.60
BENTO FERREIRA,22.49
PARQUE MOSCOSO,22.32
MARUÍPE,22.29
DO MOSCOSO,22.28
ENSEADA DO SUÁ,22.13
ARIOVALDO FAVALESSA,21.99
ILHA DAS CAIEIRAS,21.94
FONTE GRANDE,21.85
CRUZAMENTO,21.75
SÃO JOSÉ,21.65
BARRO VERMELHO,21.51
NAZARETH,21.48
ROMÃO,21.41
CENTRO,21.09
UNIVERSITÁRIO,21.05
SÃO PEDRO,21.04
MARIA ORTIZ,21.00
SANTA HELENA,20.79
SANTOS REIS,20.48
RESISTÊNCIA,20.43
SANTA TEREZA,20.42
GRANDE VITÓRIA,20.26
MONTE BELO,20.15
BELA VISTA,20.14
ILHA DO FRADE,20.00
SÃO BENEDITO,19.94
BONFIM,19.83
SÃO CRISTÓVÃO,19.77
SANTO ANDRÉ,19.76
ESTRELINHA,19.70
SANTA LÚCIA,19.63
GOIABEIRAS,19.57
PIEDADE,19.47
DA PENHA,19.35
SEGURANÇA DO LAR,19.31
JUCUTUQUARA,19.16
ILHA DE SANTA MARIA,19.15
INHANGUETÁ,19.11
JARDIM CAMBURI,18.98
CONQUISTA,18.85
FRADINHOS,18.60
BOA VISTA,18.59
ANTÔNIO HONÓRIO,18.45
PRAIA DO CANTO,18.36
FORTE SÃO JOÃO,18.32
TABUAZEIRO,18.27
JOANA D´ARC,18.08
COMDUSA,18.06
SANTA LUÍZA,17.99
JABOUR,17.98
NOVA PALESTINA,17.76
REDENÇÃO,17.71
SANTO ANTÔNIO,17.57
PONTAL DE CAMBURI,17.39
CONSOLAÇÃO,17.16
REPÚBLICA,17.13
MATA DA PRAIA,17.08
MORADA DE CAMBURI,16.67
VILA RUBIM,16.57
DO QUADRO,16.49
JARDIM DA PENHA,16.28
SANTA MARTHA,15.84
DO CABRAL,15.71
DE LOURDES,15.41
SOLON BORGES,14.71
MÁRIO CYPRESTE,14.56
AEROPORTO,12.50
ILHA DO BOI,8.57
PARQUE INDUSTRIAL,0.00
