"wait_days","no_show_rate"
0,4.65
1,21.35
2,23.82
3,23.53
4,23.27
5,26.61
6,24.80
7,26.68
8,28.73
9,27.41
10,31.63
11,31.61
12,31.66
13,31.87
14,31.34
15,33.40
16,30.50
17,31.62
18,30.56
19,34.77
20,34.37
21,30.90
22,34.44
23,33.58
24,37.78
25,40.19
26,35.98
27,31.59
28,29.48
29,32.69
30,26.56
31,32.74
32,35.15
33,33.43
34,33.42
35,37.28
36,31.03
37,35.95
38,34.17
39,32.35
40,40.55
41,35.38
42,36.93
43,29.92
44,29.94
45,36.50
46,36.36
47,30.28
48,29.06
49,34.72
50,26.92
51,36.26
52,25.56
53,34.38
54,36.99
55,44.95
56,25.12
57,37.76
58,32.73
59,36.67
60,42.47
61,22.96
62,20.73
63,26.50
64,37.33
65,29.90
66,29.63
67,30.16
68,32.86
69,32.38
70,31.25
71,22.00
72,30.19
73,35.14
74,33.33
75,30.56
76,30.77
77,33.96
78,39.39
79,39.13
80,44.44
81,40.00
82,0.00
83,12.50
84,22.22
85,21.62
86,16.67
87,31.25
88,31.25
89,41.18
90,24.14
91,21.43
92,0.00
93,0.00
94,0.00
95,20.00
96,25.00
97,0.00
98,20.00
101,0.00
102,25.00
103,60.00
104,75.00
105,0.00
107,0.00
108,0.00
109,0.00
110,50.00
111,20.00
112,0.00
115,0.00
117,0.00
119,0.00
122,0.00
123,0.00
125,0.00
126,100.00
127,0.00
132,100.00
133,36.36
139,100.00
142,37.50
146,100.00
151,100.00
155,60.00
162,18.18
169,12.50
176,37.50
179,20.00
